"OBWOD","REJ","N_ADRESY","CLC_area","UA_area","BDOT_area"
"6701601","670160",65,12516.34149267,65010.4311807994,36731.4223499894
"6701701","670170",65,66205.4642636618,55576.4798538284,40415.2629848884
"6701702","670170",85,54778.2803194355,53751.7029900458,47165.4666977486
"6701703","670170",48,59416.7693749771,53218.5310630164,56710.5039593665
"6701704","670170",93,101440.459501456,60987.6575190126,142423.534663372
"6701801","670180",99,16157.5574947086,46779.9342481783,56564.0927182861
"6701802","670180",73,43640.2400977835,32777.8491851345,38867.3091449139
"6701803","670180",111,88849.9840624556,82994.6595159015,85709.9731577739
"6701804","670180",105,106880.411422634,79715.5736483884,77986.1163702735
"6701901","670190",99,40342.2874402013,76931.5074018851,74999.2314464243
"6702011","670201",111,203146.838418191,158414.660860578,98671.2051428908
"6702012","670201",7,7522.66125001665,6202.24445492635,7521.39198547219
"6702013","670201",24,19686.6409375034,16866.5692296277,14363.4092592727
"6702014","670201",74,35978.4343749434,30729.469207852,31937.8326911521
"6702015","670201",78,33384.7781250253,28125.1001219473,33379.7359991746
"6702021","670202",28,34227.0287501328,8430.75886490941,9663.50688722491
"6702022","670202",17,20757.331874948,13331.7746673982,14164.4486908206
"6702023","670202",12,8830.56187496893,8092.91684173513,7912.97109320204
"6702024","670202",15,14251.2609374505,12751.7100502963,12550.093837439
"6702025","670202",14,13606.4315625355,11753.768019821,8961.19279115621
"6702026","670202",10,7555.1884374246,7412.11502480693,7386.18541789195
"6702101","670210",130,88734.0031250138,77427.0942115585,74162.7867783522
"6702102","670210",17,17177.4134374559,11680.3635267974,13687.2683853793
"6702103","670210",3,3260.437812533,2883.06235384903,3260.437812533
"6702104","670210",5,4372.42500000447,3560.08508160373,4372.42499999889
"6702105","670210",18,24797.8725000247,12280.6386466419,15887.9569397025
"6702106","670210",19,14863.4287500978,12356.86462218,12363.9807185316
"6702201","670220",24,69145.6452399199,14563.0754455533,23700.0054323726
"6702301","670230",137,129718.123152563,114986.518334407,101916.43511398
"6702401","670240",115,276276.993418637,97546.8151078011,84293.4300576844
"6702501","670250",6,11955.8378124237,10705.5637409599,5264.02525255829
"6702502","670250",6,6541.89374997467,6182.31376459493,4222.62877490616
"6702503","670250",6,6967.28906248137,6718.29162909563,4605.28746492881
"6702504","670250",6,5309.67750002164,5066.43453223596,4581.53922533314
"6702505","670250",9,20177.3281251895,8442.17563338857,5912.91801630612
"6702506","670250",6,4121.04125002958,3678.30452387544,3973.21952736104
"6702601","670260",17,13704.7371874657,12274.9609631121,8220.17367510717
"6702602","670260",6,4522.22187497397,4520.56407317333,4040.68057867105
"6702603","670260",7,6517.28937500529,6501.17946401837,5647.95068658947
"6702604","670260",18,12114.3031251365,11820.789742297,9056.01486508294
"6702605","670260",5,7423.07656245772,6619.11558235587,7354.48885724507
"6702606","670260",11,12383.8259375188,11109.5759856291,7896.77204778729
"6702607","670260",5,4259.17312494945,3540.63294534944,2698.28257341839
"6702608","670260",5,9683.92624997906,8184.37677661652,4998.69440316471
"6702609","670260",9,5321.24062497728,5231.80321685679,5293.61719258843
"6702701","670270",5,3507.75906246225,2983.89283594489,2449.31592313386
"6702702","670270",5,5248.46593748778,4395.27559917094,3333.51229217311
"6702703","670270",4,10311.8368750773,2873.36983582517,4430.03982423153
"6702704","670270",3,8805.90031242836,3373.93733024783,4595.51396290213
"6702705","670270",3,5872.77906247322,2034.72497930843,2301.41986738145
"6702706","670270",4,7935.03374996036,2968.29662105534,3462.03355049901
"6702707","670270",6,4835.59906249121,3938.74411816566,3666.55302164797
"6702708","670270",4,5980.89406247996,3647.15379692707,4279.26006402678
"6702801","670280",4,4919.33843747959,4573.45473270235,3486.72363620141
"6702802","670280",7,9334.03781248629,8836.74080810277,6011.75378868286
"6702803","670280",4,2383.50500002876,2174.23352119497,1767.25673488295
"6702804","670280",4,2787.72906249762,2724.93233355787,2683.7520536923
"6702805","670280",7,9197.80468753865,8160.36648137206,5171.40148644568
"6702806","670280",4,2067.38250000402,1591.08158087905,2063.52857090812
"6702901","670290",6,7371.52499997495,7215.72737475624,5376.1725990572
"6702902","670290",6,8478.175937491,7230.93247881532,4073.82027342403
"6702903","670290",6,5179.74781254213,4682.1043702295,5117.88475856086
"6702904","670290",4,4389.11125000566,3663.86534317886,4389.11125000566
"6702905","670290",4,4268.4259375222,3613.57747865049,4120.54932453809
"6703001","670300",4,4513.82031241432,4120.13591622124,3782.96167409699
"6703002","670300",4,3679.43249996938,3583.18896513448,3113.17283423478
"6703003","670300",28,23753.0050001517,21968.0486345664,16898.4648869088
"6703004","670300",17,14051.6024998957,10553.8293393523,11918.0903548259
"6703005","670300",8,24522.2306250446,9426.45224240178,9236.13342724102
"6703006","670300",34,25408.9121874794,23321.0268759206,21441.5180118483
"6703007","670300",29,22878.75781246,21058.7832368785,21748.0565498102
"6703101","670310",6,7229.11937502213,6402.60950134508,6258.82408933365
"6703102","670310",8,8904.59812495951,6161.77416922612,5183.03059267385
"6703103","670310",6,5322.84875002131,4452.61610814522,4481.14485531207
"6703104","670310",8,8507.23960477859,6212.64406547451,4095.73413590714
"6703105","670310",6,4449.78468747996,4072.56658658129,4269.21402565431
"6703106","670310",6,5056.73375006299,4606.01674286078,4891.52422638424
"6703201","670320",6,4739.01187494956,4263.57417986542,4260.04618308065
"6703202","670320",9,9554.18156247959,7937.60302012699,6067.24492024045
"6703203","670320",6,4151.03843755648,3722.55415606871,4111.45424332825
"6703204","670320",6,2869.75343751535,2550.64991027862,2869.75343751535
"6703205","670320",8,18271.6231249236,17212.8636910115,3207.51315674381
"6703301","670330",6,5984.80343749374,5642.09973136778,5868.78323559742
"6703302","670330",5,4340.27531254292,3507.99277958254,4197.39312401088
"6703303","670330",9,6528.0915626171,6140.93208542316,5385.31860473834
"6703304","670330",4,4047.69406252541,3420.83939424716,4041.11741078921
"6703305","670330",16,31706.7659375225,8283.73099611264,8227.90554021729
"6703306","670330",4,8311.67749997173,1740.60642629326,1074.02472083899
"6703401","670340",9,19572.6393749686,8882.91757055186,6177.32940705951
"6703402","670340",8,10529.6696874647,9064.07581752089,7069.23760038655
"6703403","670340",11,12580.6984375516,11479.9647938137,11755.1531990502
"6703405","670340",10,9591.28531242302,7044.1942688002,8252.75867743604
"6703406","670340",10,10264.1278124806,8057.40716246329,9198.39738993626
"6703407","670340",17,16140.630625037,14320.6931807722,12625.8916411897
"6703501","670350",6,6197.80670370534,5019.70180846937,4743.04375978885
"6703502","670350",8,2957.88906253129,2850.76754557982,2946.54481482084
"6703503","670350",6,7487.3914302215,5876.06586486893,4956.88386111287
"6703504","670350",8,11614.6978125572,9397.93093256163,2332.73170052576
"6703505","670350",6,5263.2881249655,4862.0840721906,5024.54524310294
"6703506","670350",6,5373.80437502451,5206.0991649332,4754.22846245381
"6703601","670360",6,14951.7475000436,10270.2723689629,7203.74280180107
"6703602","670360",5,15370.0846874006,2488.3434256129,3013.86548430062
"6703603","670360",6,5405.30093751734,3682.16041611688,5062.12601094924
"6703604","670360",4,8205.42812484235,6012.82182534225,4656.99356590483
"6703605","670360",4,1949.20750006402,1449.010800438,1574.28343126778
"6703606","670360",6,4015.9468750041,3586.32816936634,4015.9468750041
"6703701","670370",6,6157.68374995678,5078.57816440233,3723.11997651926
"6703702","670370",15,27659.0109374262,12930.5905466047,11924.0398775372
"6703703","670370",7,8748.64625010826,7602.98823910765,4432.76278403533
"6703704","670370",3,2620.71437498368,2577.43187399354,2253.51987972017
"6703705","670370",6,5671.51500001783,4836.39473959431,4171.04531655755
"6703706","670370",1,3222.6274999578,2740.96716263449,3056.7422935199
"6703707","670370",2,5834.47999995481,5286.36127244774,2550.94804976849
"6703708","670370",10,9329.41375007574,9115.95128228999,9187.09401034552
"6703801","670380",8,21473.9031249774,9954.1015910171,8342.14386117255
"6703802","670380",7,7178.69343749352,6677.29659586586,2299.92847154804
"6703803","670380",28,8678.33968749642,8371.89894133061,8331.11253604721
"6703804","670380",11,11873.5437500365,11269.2761315935,11320.2963659608
"6703805","670380",12,6970.4062500447,6171.72143532615,6519.21116721393
"6703806","670380",21,11740.8200000081,11195.5567279968,10628.1421220349
"6703901","670390",38,30144.8131250718,28177.7457767297,25207.5001759318
"6703902","670390",31,25180.1634375553,23004.6395575516,19672.420883637
"6703903","670390",24,20136.7612500126,18261.474854432,18308.879088199
"6703904","670390",34,19037.1418747983,17376.10283929,16583.4482654058
"6703905","670390",15,7788.82875004597,4735.46971031158,5765.33025227998
"6703906","670390",5,6429.51281241328,3755.96949124336,4417.50093425065
"6703907","670390",19,11224.329062473,7883.7760282401,8971.89147077761
"6704001","670400",4,8543.8537500524,6947.81417984114,6431.7520164677
"6704002","670400",4,3461.62031251703,2770.10874184247,1098.68231498078
"6704003","670400",12,21292.1143749628,19494.0955508918,5965.06406398444
"6704004","670400",4,7995.43875004875,7404.13916303602,6784.28785547587
"6704005","670400",4,3508.39968748722,3410.05240650807,3279.29527794506
"6704006","670400",4,2293.31343749235,1731.77639194,1678.59584752843
"6704101","670410",1,9158.64906251687,5389.14634703241,3073.92141021483
"6704102","670410",3,4202.83999999054,4072.66796370829,3656.92569586204
"6704103","670410",2,6301.81562497001,5997.34539700247,4458.43648250942
"6704104","670410",5,3568.57687503844,3568.57687503844,3491.96532483306
"6704105","670410",24,39271.4884374589,36528.8851317873,10493.4246777693
"6704201","670420",5,5132.40093744127,4652.13872985588,3817.15461146677
"6704202","670420",5,3780.81375001749,2987.96764844563,3361.21289831941
"6704203","670420",5,7464.91937500238,6860.6945031858,6631.4086223875
"6704204","670420",6,7641.50781257823,6960.88269043714,4386.39228640217
