"OBWOD","REJ","POP_REJ","N_ADRESY_R","CLC_area_R","UA_area_R","BDOT_area_R"
"6701201","670120",10,81,3850.0327929873,1937.2626240674,132039.597757445
"6701302","670130",602,214,112630.920185162,78979.9460992681,83747.1954444982
"6701301","670130",602,214,112630.920185162,78979.9460992681,83747.1954444982
"6701405","670140",1462,465,284620.431133417,240149.416772826,236536.213942756
"6701404","670140",1462,465,284620.431133417,240149.416772826,236536.213942756
"6701402","670140",1462,465,284620.431133417,240149.416772826,236536.213942756
"6701403","670140",1462,465,284620.431133417,240149.416772826,236536.213942756
"6701401","670140",1462,465,284620.431133417,240149.416772826,236536.213942756
"6701501","670150",307,142,137552.72827829,83001.1920621226,83780.1826477537
"6701601","670160",323,65,12516.34149267,65010.4311807994,36731.4223499894
"6701703","670170",756,291,281840.973459531,223534.371425903,286714.768305375
"6701702","670170",756,291,281840.973459531,223534.371425903,286714.768305375
"6701704","670170",756,291,281840.973459531,223534.371425903,286714.768305375
"6701701","670170",756,291,281840.973459531,223534.371425903,286714.768305375
"6701802","670180",1270,388,255528.193077582,242268.016597603,259127.491391247
"6701804","670180",1270,388,255528.193077582,242268.016597603,259127.491391247
"6701803","670180",1270,388,255528.193077582,242268.016597603,259127.491391247
"6701801","670180",1270,388,255528.193077582,242268.016597603,259127.491391247
"6701901","670190",227,99,40342.2874402013,76931.5074018851,74999.2314464243
"6702011","670201",1247,294,299719.35310568,240338.043874932,185873.575077962
"6702014","670201",1247,294,299719.35310568,240338.043874932,185873.575077962
"6702013","670201",1247,294,299719.35310568,240338.043874932,185873.575077962
"6702012","670201",1247,294,299719.35310568,240338.043874932,185873.575077962
"6702015","670201",1247,294,299719.35310568,240338.043874932,185873.575077962
"6702026","670202",1603,96,99227.8034374602,61773.043468967,60638.3987177348
"6702024","670202",1603,96,99227.8034374602,61773.043468967,60638.3987177348
"6702025","670202",1603,96,99227.8034374602,61773.043468967,60638.3987177348
"6702022","670202",1603,96,99227.8034374602,61773.043468967,60638.3987177348
"6702023","670202",1603,96,99227.8034374602,61773.043468967,60638.3987177348
"6702021","670202",1603,96,99227.8034374602,61773.043468967,60638.3987177348
"6702102","670210",1502,192,153205.58062513,120188.108442631,123734.855634497
"6702105","670210",1502,192,153205.58062513,120188.108442631,123734.855634497
"6702103","670210",1502,192,153205.58062513,120188.108442631,123734.855634497
"6702104","670210",1502,192,153205.58062513,120188.108442631,123734.855634497
"6702106","670210",1502,192,153205.58062513,120188.108442631,123734.855634497
"6702101","670210",1502,192,153205.58062513,120188.108442631,123734.855634497
"6702201","670220",52,24,69145.6452399199,14563.0754455533,23700.0054323726
"6702301","670230",290,137,129718.123152563,114986.518334407,101916.43511398
"6702401","670240",273,115,276276.993418637,97546.8151078011,84293.4300576844
"6702501","670250",1197,39,55073.0675001205,40793.0838241505,28559.6182613936
"6702504","670250",1197,39,55073.0675001205,40793.0838241505,28559.6182613936
"6702503","670250",1197,39,55073.0675001205,40793.0838241505,28559.6182613936
"6702505","670250",1197,39,55073.0675001205,40793.0838241505,28559.6182613936
"6702506","670250",1197,39,55073.0675001205,40793.0838241505,28559.6182613936
"6702502","670250",1197,39,55073.0675001205,40793.0838241505,28559.6182613936
"6702607","670260",1533,83,75929.7940624638,69802.9987494086,55206.6748796545
"6702603","670260",1533,83,75929.7940624638,69802.9987494086,55206.6748796545
"6702609","670260",1533,83,75929.7940624638,69802.9987494086,55206.6748796545
"6702608","670260",1533,83,75929.7940624638,69802.9987494086,55206.6748796545
"6702604","670260",1533,83,75929.7940624638,69802.9987494086,55206.6748796545
"6702605","670260",1533,83,75929.7940624638,69802.9987494086,55206.6748796545
"6702601","670260",1533,83,75929.7940624638,69802.9987494086,55206.6748796545
"6702602","670260",1533,83,75929.7940624638,69802.9987494086,55206.6748796545
"6702606","670260",1533,83,75929.7940624638,69802.9987494086,55206.6748796545
"6702703","670270",1263,34,52498.2681248605,26215.3951166453,28517.6485059958
"6702701","670270",1263,34,52498.2681248605,26215.3951166453,28517.6485059958
"6702702","670270",1263,34,52498.2681248605,26215.3951166453,28517.6485059958
"6702706","670270",1263,34,52498.2681248605,26215.3951166453,28517.6485059958
"6702705","670270",1263,34,52498.2681248605,26215.3951166453,28517.6485059958
"6702707","670270",1263,34,52498.2681248605,26215.3951166453,28517.6485059958
"6702708","670270",1263,34,52498.2681248605,26215.3951166453,28517.6485059958
"6702704","670270",1263,34,52498.2681248605,26215.3951166453,28517.6485059958
"6702803","670280",870,30,30689.7975000349,28060.8094578091,21184.4162708133
"6702804","670280",870,30,30689.7975000349,28060.8094578091,21184.4162708133
"6702805","670280",870,30,30689.7975000349,28060.8094578091,21184.4162708133
"6702806","670280",870,30,30689.7975000349,28060.8094578091,21184.4162708133
"6702801","670280",870,30,30689.7975000349,28060.8094578091,21184.4162708133
"6702802","670280",870,30,30689.7975000349,28060.8094578091,21184.4162708133
"6702903","670290",774,26,29686.985937536,26406.2070456304,23077.5382055858
"6702902","670290",774,26,29686.985937536,26406.2070456304,23077.5382055858
"6702901","670290",774,26,29686.985937536,26406.2070456304,23077.5382055858
"6702905","670290",774,26,29686.985937536,26406.2070456304,23077.5382055858
"6702904","670290",774,26,29686.985937536,26406.2070456304,23077.5382055858
"6703002","670300",740,124,118807.760937415,94031.4652104752,88138.397738966
"6703006","670300",740,124,118807.760937415,94031.4652104752,88138.397738966
