"OBWOD","REJ","N_ADRESY","CLC_area","UA_area","BDOT_area","TOTAL_POP","N_ADRESY_R","CLC_area_R","UA_area_R","BDOT_area_R","POP_REJ"
"6702401","670240",115,276276.993418637,97546.8151077918,84293.4300576844,273,115,276276.993418637,97546.8151077918,84293.4300576844,273
"6702501","670250",6,11955.8378124237,10705.5637409231,5264.02525255829,227,39,55073.0675001205,40793.0838239774,28559.6182613936,1197
"6702502","670250",6,6541.89374997467,6182.31376452182,4222.62877490616,177,39,55073.0675001205,40793.0838239774,28559.6182613936,1197
"6702503","670250",6,6967.28906248137,6718.29162908941,4605.28746492881,143,39,55073.0675001205,40793.0838239774,28559.6182613936,1197
"6702504","670250",6,5309.67750002164,5066.43453222257,4581.53922533314,181,39,55073.0675001205,40793.0838239774,28559.6182613936,1197
"6702505","670250",9,20177.3281251895,8442.17563337553,5912.91801630612,302,39,55073.0675001205,40793.0838239774,28559.6182613936,1197
"6702506","670250",6,4121.04125002958,3678.30452384488,3973.21952736104,167,39,55073.0675001205,40793.0838239774,28559.6182613936,1197
"6702601","670260",17,13704.7371874657,12274.9609631551,8220.17367510717,216,83,75929.7940624638,69802.9987494312,55206.6748796545,1533
"6702602","670260",6,4522.22187497397,4520.56407316506,4040.68057867105,171,83,75929.7940624638,69802.9987494312,55206.6748796545,1533
"6702603","670260",7,6517.28937500529,6501.1794640209,5647.95068658947,193,83,75929.7940624638,69802.9987494312,55206.6748796545,1533
"6702604","670260",18,12114.3031251365,11820.7897423119,9056.01486508294,208,83,75929.7940624638,69802.9987494312,55206.6748796545,1533
"6702605","670260",5,7423.07656245772,6619.11558239172,7354.48885724507,173,83,75929.7940624638,69802.9987494312,55206.6748796545,1533
"6702606","670260",11,12383.8259375188,11109.5759856217,7896.77204778729,180,83,75929.7940624638,69802.9987494312,55206.6748796545,1533
"6702607","670260",5,4259.17312494945,3540.63294532231,2698.28257341839,121,83,75929.7940624638,69802.9987494312,55206.6748796545,1533
"6702608","670260",5,9683.92624997906,8184.37677658379,4998.69440316471,126,83,75929.7940624638,69802.9987494312,55206.6748796545,1533
"6702609","670260",9,5321.24062497728,5231.80321685877,5293.61719258843,145,83,75929.7940624638,69802.9987494312,55206.6748796545,1533
"6702701","670270",5,3507.75906246225,2983.89283596352,2449.31592313386,204,34,52498.2681248605,26215.3951166427,28517.6485059958,1263
"6702702","670270",5,5248.46593748778,4395.27559918514,3333.51229217311,182,34,52498.2681248605,26215.3951166427,28517.6485059958,1263
"6702703","670270",4,10311.8368750773,2873.36983580049,4430.03982423153,133,34,52498.2681248605,26215.3951166427,28517.6485059958,1263
"6702704","670270",3,8805.90031242836,3373.93733025715,4595.51396290213,125,34,52498.2681248605,26215.3951166427,28517.6485059958,1263
"6702705","670270",3,5872.77906247322,2034.72497930937,2301.41986738145,135,34,52498.2681248605,26215.3951166427,28517.6485059958,1263
"6702706","670270",4,7935.03374996036,2968.29662104789,3462.03355049901,128,34,52498.2681248605,26215.3951166427,28517.6485059958,1263
"6702707","670270",6,4835.59906249121,3938.74411813808,3666.55302164797,154,34,52498.2681248605,26215.3951166427,28517.6485059958,1263
"6702708","670270",4,5980.89406247996,3647.15379694104,4279.26006402678,202,34,52498.2681248605,26215.3951166427,28517.6485059958,1263
"6702801","670280",4,4919.33843747959,4573.45473270328,3486.72363620141,115,30,30689.7975000349,28060.8094579021,21184.4162708133,870
"6702802","670280",7,9334.03781248629,8836.7408081037,6011.75378868286,171,30,30689.7975000349,28060.8094579021,21184.4162708133,870
"6702803","670280",4,2383.50500002876,2174.23352119217,1767.25673488295,138,30,30689.7975000349,28060.8094579021,21184.4162708133,870
"6702804","670280",4,2787.72906249762,2724.93233356951,2683.7520536923,138,30,30689.7975000349,28060.8094579021,21184.4162708133,870
"6702805","670280",7,9197.80468753865,8160.36648143204,5171.40148644568,176,30,30689.7975000349,28060.8094579021,21184.4162708133,870
"6702806","670280",4,2067.38250000402,1591.0815809014,2063.52857090812,132,30,30689.7975000349,28060.8094579021,21184.4162708133,870
"6702901","670290",6,7371.52499997495,7215.72737474152,5376.1725990572,178,26,29686.985937536,26406.2070455134,23077.5382055858,774
"6702902","670290",6,8478.175937491,7230.93247869657,4073.82027342403,148,26,29686.985937536,26406.2070455134,23077.5382055858,774
"6702903","670290",6,5179.74781254213,4682.10437024271,5117.88475856086,178,26,29686.985937536,26406.2070455134,23077.5382055858,774
"6702904","670290",4,4389.11125000566,3663.8653431714,4389.11125000566,119,26,29686.985937536,26406.2070455134,23077.5382055858,774
"6702905","670290",4,4268.4259375222,3613.5774786612,4120.54932453809,151,26,29686.985937536,26406.2070455134,23077.5382055858,774
"6703001","670300",4,4513.82031241432,4120.13591617787,3782.96167409699,85,124,118807.760937415,94031.4652103469,88138.397738966,740
"6703002","670300",4,3679.43249996938,3583.18896513686,3113.17283423478,91,124,118807.760937415,94031.4652103469,88138.397738966,740
"6703003","670300",28,23753.0050001517,21968.0486345375,16898.4648869088,108,124,118807.760937415,94031.4652103469,88138.397738966,740
"6703004","670300",17,14051.6024998957,10553.8293393075,11918.0903548259,136,124,118807.760937415,94031.4652103469,88138.397738966,740
"6703005","670300",8,24522.2306250446,9426.45224236528,9236.13342724102,83,124,118807.760937415,94031.4652103469,88138.397738966,740
"6703006","670300",34,25408.9121874794,23321.026875928,21441.5180118483,118,124,118807.760937415,94031.4652103469,88138.397738966,740
"6703007","670300",29,22878.75781246,21058.7832368938,21748.0565498102,119,124,118807.760937415,94031.4652103469,88138.397738966,740
"6703101","670310",6,7229.11937502213,6402.60950135998,6258.82408933365,203,40,39470.3242923245,31908.2271735867,29179.4719252653,1331
"6703102","670310",8,8904.59812495951,6161.77416923613,5183.03059267385,255,40,39470.3242923245,31908.2271735867,29179.4719252653,1331
"6703103","670310",6,5322.84875002131,4452.61610813602,4481.14485531207,223,40,39470.3242923245,31908.2271735867,29179.4719252653,1331
"6703104","670310",8,8507.23960477859,6212.64406545775,4095.73413590714,265,40,39470.3242923245,31908.2271735867,29179.4719252653,1331
"6703105","670310",6,4449.78468747996,4072.56658655219,4269.21402565431,196,40,39470.3242923245,31908.2271735867,29179.4719252653,1331
"6703106","670310",6,5056.73375006299,4606.0167428446,4891.52422638424,189,40,39470.3242923245,31908.2271735867,29179.4719252653,1331
"6703201","670320",6,4739.01187494956,4263.57417986169,4260.04618308065,212,35,39585.6084374245,35687.2449573946,20516.0119409085,969
"6703202","670320",9,9554.18156247959,7937.60302014957,6067.24492024045,226,35,39585.6084374245,35687.2449573946,20516.0119409085,969
